Mr. Chairman|| fdic, federal, loan
<|endoftext|>|| health, department, senate
Mr. Speaker|| bill, washington, test
<|endoftext|>|| made, paint, america
<|endoftext|>|| approaches, important, act
Madam Speaker|| intentions, legislation, women
Mr. Chairman|| pennsylvania, yield, reserved
<|endoftext|>|| toledo, higgins, automotive
Madam Speaker|| act, strong, tools
Mr. President|| honor, mark, anniversary
Mr. Speaker|| security, legislation, study
Mr. President|| protocol, north, macedonia
Mr. President|| law, state, number
Mr. Speaker|| president, security, face
Mr. President|| enrolled, agency, student
<|endoftext|>|| higher, potentially, time
Mr. Speaker|| programs, gentleman, moderates
Mr. Speaker|| budget, benefits, rule
Mr. President|| president, congress, rock
Mr. Chairman|| rate, increase, funding
Mr. President|| table, relating, laid
Mr. Chairman|| executive, representatives, total
Mr. Speaker|| constantly, america, secure
Mr. Chairman|| ranking, united, serve
Mr. Speaker|| speaker, boston, island
Mr. President|| consent, clear, hear
Mr. President|| authorized, senate, president
Mr. Chairman|| department, account, security
<|endoftext|>|| vietnam, honor, senator
Mr. Speaker|| congress, democrats, government
Mr. President|| product, science, insurance
Mr. Speaker|| funding, deal, speaker
Mr. Chairman|| chairman, system, federal
Mr. President|| governor, leadership, career
<|endoftext|>|| air, tactical, satellite
Mr. Chairman|| programs, places, eligible
Mr. President|| senator, governor, deficits
<|endoftext|>|| side, bloc, opportunity
Mr. President|| iraq, senator, floor
Mr. President|| people, justice, african-american
<|endoftext|>|| comments, americans, wife
Madam Speaker|| majority, spending, last-minute
Mr. Speaker|| years, medicare, president
Mr. President|| time, motion, bill
<|endoftext|>|| step, mind, agree
<|endoftext|>|| end, united, landmine
Mr. Speaker|| illinois, confidence, indiana
<|endoftext|>|| corps, states, terry
Mr. President|| offered, understand, concerned
<|endoftext|>|| president, chairman, majority
Mr. President|| meetings, time, president
Mr. Chair|| damage, crisis, seek
Mr. Speaker|| groups, speaker, disclosure
Mr. Chairman|| opposition, procurement, american
Mr. Chairman|| opposition, opposed, chair
Mr. Speaker|| agencies, bill, headquarters
<|endoftext|>|| additional, jersey, propose
Mr. Speaker|| medicare, security, speaker
<|endoftext|>|| floor, word, year
<|endoftext|>|| suggest, arrives, wind
Mr. Chairman|| account, amendment, kaptur
Mr. President|| benefit, flood, time
<|endoftext|>|| henry, years, country
Madam Speaker|| yield, sense, efforts
<|endoftext|>|| reading, iraq, funding
Mr. Speaker|| speaker, states, gila
Mr. Speaker|| african-american, speaker, islands
Mr. Speaker|| privacy, act, time
Mr. Speaker|| sweeney, introduced, york
Mr. Chairman|| cost, carbon, published
Mr. Speaker|| debt, americans, years
Mr. President|| federal, national, development
Mr. Speaker|| request, 12:30, gentleman
Mr. President|| life, january, today
<|endoftext|>|| people, effort, afternoon
<|endoftext|>|| make, recognition, time
Mr. President|| postal, office, building
Mr. Speaker|| house, present, credit
Mr. Speaker|| american, home, welfare
Mr. Speaker|| congratulate, bill, house
Mr. Speaker|| speaker, generations, social
Mr. President|| action, order, motion
Madam Speaker|| madam, pleased, minutes
Mr. Speaker|| pickering, corrine, productive
Mr. President|| table, calendar, declarations
Mr. President|| acquire, kind, firearm
Madam Speaker|| move, program, speaker
Madam Speaker|| madam, perpetrated, distortions
Mr. Speaker|| friend, issue, motion
Mr. President|| hale, site, president
<|endoftext|>|| criteria, assessment, existing
Madam President|| language, madam, houses
Mr. President|| legislation, wilson, authority
Mr. Speaker|| elderly, constituents, seniors
Mr. President|| human, proceed, table
Mr. Speaker|| travel, house, lobbying
Mr. Chairman|| committee, center, jersey
Madam Speaker|| economy, speaker, small
Mr. Speaker|| gasoline, continue, coast
Mr. President|| introduced, committee, coming
Mr. Chairman|| angeles, wonderful, care
Mr. President|| victims, federal, committee
Mr. Speaker|| clear, kids, texas
Mr. President|| record, staff, small
Madam President|| president, order, consent
Mr. Speaker|| turkey, world, liberty
Mr. President|| session, forestry, standing
<|endoftext|>|| o'clock, majority, votes
Mr. President|| previously, inquired, living
Mr. President|| abuse, association, exploitation
<|endoftext|>|| jurisdictions, point, first-degree
Mr. Chairman|| contract, bush, million
Mr. Chairman|| embargo, chairman, america
Mr. Chairman|| bad, section, federal
Mr. Speaker|| mandates, gas, umra
Mr. Speaker|| speaker, revise, extend
Madam Speaker|| yield, agree, time
Mr. President|| web, businesses, president
Mr. President|| sterling, york, senator
Mr. President|| phones, mitchell, poll
Mr. Speaker|| house, speaker, sought
<|endoftext|>|| number, majority, degree
Mr. Speaker|| great, george, state
<|endoftext|>|| medicaid, choices, son
Madam Speaker|| die, side, workout
Mr. Chairman|| balanced, issue, followers
Mr. Speaker|| debate, taxpayer, motion
Mr. President|| defense, thereto, conference
<|endoftext|>|| president, gentleman, interest
Mr. Speaker|| noon, adjourn, consent
Mr. Speaker|| include, material, extraneous
<|endoftext|>|| senate, consent, stand
Mr. President|| march, proponents, independent
Mr. Speaker|| pro, california, chair
<|endoftext|>|| considered, observing, cokie
Madam Speaker|| act, compromising, rebuilding
Mr. Chairman|| regulatory, rise, health
Mr. Chairman|| congress, write, committee
Mr. Speaker|| patient, minute, act
<|endoftext|>|| alabama, physically, read
Mr. President|| recognize, shuster, high
Mr. President|| march, america, awareness
Mr. Speaker|| california, workload, public
Madam Speaker|| polish, forest, war
Mr. Speaker|| rule, committee, house
Mr. President|| offshore, produced, senator
<|endoftext|>|| referred, senator, loop
Mr. Speaker|| living, views, express
Mr. Chairman|| money, bill, istook
Mr. President|| tariffs, wyden, states
Mr. President|| conrad, senator, provided
Mr. Chair|| arizona, today, chair
<|endoftext|>|| manage, increase, properly
Mr. Speaker|| gentleman, joining, minute
<|endoftext|>|| resolution, join, occurred
Mr. Speaker|| liberal, increase, members
Mr. President|| overcome, comprehend, betty
Mr. President|| america, arizona, distinguished
Madam Speaker|| speaker, perfected, madam
<|endoftext|>|| officers, kinds, relationships
<|endoftext|>|| outbreaks, lot, peanut
Mr. Speaker|| bill, subject, holt
<|endoftext|>|| kansas, senators, nelson
<|endoftext|>|| support, iraqi, war
Mr. President|| wanted, president, chair
Mr. Chairman|| gentleman, closing, made
Mr. President|| parts, colleagues, side
Mr. Speaker|| beef, washington, commerce
Mr. President|| national, president, senator
<|endoftext|>|| yield, walter, gentleman
Mr. Speaker|| consent, extraneous, material
<|endoftext|>|| state, bill, afghanistan
<|endoftext|>|| big, economic, hensarling
Mr. Speaker|| terrorists, speaker, elections
Madam Speaker|| president, years, carolina
Mr. President|| facility, patient, arizona
Mr. Speaker|| cost, amt, billion
Mr. Speaker|| speaker, lantos, bank
Mr. Speaker|| years, program, medicare
Madam President|| bipartisan, senate, american
Mr. Speaker|| change, yield, americans
Mr. Chairman|| pay, cut, time
<|endoftext|>|| policy, language, bill
Mr. Chairman|| military, support, construction
Mr. President|| americans, battalion, bronze
Madam Speaker|| ayes, speaker, table
Mr. President|| voters, motor, elections
Mr. President|| president, relay, attention
Mr. Speaker|| time, con, families
Mr. Chairman|| hughes, interest, administration
Mr. President|| nos, consent, calendar
Mr. Chairman|| act, umra, strikes
Mr. President|| pope, today, office
Mr. President|| build, homeowners, president
Mr. Speaker|| gentleman, spoke, milwaukee
<|endoftext|>|| illinois, senator, chicago
Mr. Speaker|| bill, purposes, consent
Mr. President|| mother, talked, adding
<|endoftext|>|| double, gathering, world-class
Mr. Speaker and my colleagues|| tax, money, increase
<|endoftext|>|| interior, opposition, bill
Mr. President|| served, terrorism, president
<|endoftext|>|| received, sela, complete
Mr. Speaker|| gentleman, massachusetts, minutes
Mr. President|| senators, glass, bill
Mr. Chairman|| pull, common, reclamation
Mr. President|| amendment, states, fossil
Mr. Speaker|| lady, taxes, owed
Mr. President|| tough, congress, urgent
<|endoftext|>|| tyson, differently, gains
Mr. Chairman|| legislation, system, approach
<|endoftext|>|| point, amendment, instructions
Madam Speaker|| percent, month, september
Mr. President|| friend, prose, body
Mr. President|| line, president, county
Mr. President|| read, considered, resolutions
Mr. Speaker|| indiana, tenor, compassion
Mr. Chairman|| support, strong, submarine
Mr. President|| agency, conduct, authorized
Mr. Chairman|| defense, american, berman
<|endoftext|>|| gpo, deficits, daddy
Mr. President|| breaux, point, privileges
<|endoftext|>|| time, one-tenth, million
Mr. Chairman|| bush, yield, justice
Mr. Speaker|| revise, bill, extend
<|endoftext|>|| illinois, america, aware
Mr. Speaker|| disparages, oregon, cases
<|endoftext|>|| size, essentially, put
<|endoftext|>|| court, predictions, shared
Mr. President|| president, committee, division
Mr. Chairman|| proceed, chairman, aggregate
Mr. President|| president, floor, limit
Mr. Speaker|| optimism, mortgages, package
<|endoftext|>|| focus, make, science
Mr. President|| persons, americans, congress
Mr. President|| unanimous, house, services
Mr. Speaker|| committee, transposing, section
Mr. Chairman|| development, secretary, pearce
Mr. Chairman|| regulations, critical, existing
<|endoftext|>|| background, rhode, employee
Mr. Speaker|| representatives, house, party
Mr. Speaker|| announcement, speaker, ordered
Mr. President|| senate, court, burger
Mr. Speaker|| year, united, amendment
Mr. Chairman|| money, make, force
Mr. Speaker|| risk, tria, commend
<|endoftext|>|| solvers, sides, gentleman
<|endoftext|>|| authorization, institution, congress
Mr. Speaker|| government, income, american
<|endoftext|>|| debate, change, package
Mr. President|| mexico, deal, wheeler
Mr. President|| senator, security, medicare
<|endoftext|>|| printed, bill, passed
<|endoftext|>|| senator, assistant, database
Madam President|| fund, land, conservation
Mr. Chairman|| close, hope, members
Mr. Chairman|| justice, cities, attorney
Mr. Speaker|| head, bush, wagon
<|endoftext|>|| young, light, note
<|endoftext|>|| integrity, speaker, interest
Mr. President|| highly, behalf, states
<|endoftext|>|| occasion, apparently, friend
<|endoftext|>|| export-import, hope, leader
Mr. President|| crew, true, helicopter
<|endoftext|>|| yield, consume, budget
<|endoftext|>|| mineral, millions, exercising
Mr. Chairman|| long-term, act, class
Mr. President|| people, respect, reform
<|endoftext|>|| carolina, safety, chairman
Mr. President|| president, service, integrity
<|endoftext|>|| provide, realistic, training
<|endoftext|>|| barrels, market, energy
Mr. President|| economy, american, democrats
<|endoftext|>|| number, soldiers, suicides
Mr. President|| people, committee, aisle
<|endoftext|>|| vehicles, class, middle
Mr. Speaker|| days, gentleman, remarks
Mr. President|| community, parish, state
Mr. Chairman|| dollars, colorado, chairman
Mr. Speaker|| amendment, substitute, local
<|endoftext|>|| women, child, nutrition
Mr. Speaker|| jersey, center, introduce
Mr. President|| conservation, assure, senate
Mr. Speaker|| committee, independence, resolution
Mr. President|| majority, senators, choose
Mr. Speaker|| america, roe, planned
Mr. President|| healthcare, services, make
Mr. President|| attorneys, sanctioned, rule
Mr. President|| make, balanced, tax
Mr. Speaker|| patients, health, family
Mr. Speaker|| balance, handle, reason
Mr. President|| care, fact, medicare
<|endoftext|>|| committee, legislation, amendments
Mr. Speaker|| members, revise, unanimous
<|endoftext|>|| make, extend, lifespan
Mr. Speaker|| dedication, nutrition, unpaid
Madam President|| montana, consumers, mulvaney
Madam Speaker|| americans, sense, madam
<|endoftext|>|| bills, important, president-elect
Mr. President|| senate, colleague, business
Mr. President|| county, transportation, department
Mr. President|| president, year, deletes
Mr. President|| support, payments, farmers
<|endoftext|>|| motion, matter, agreed
Mr. President|| president, brady, hard
Mr. President|| court, constitution, senate
Mr. Speaker|| speaker, prescription, rise
Mr. Speaker|| past, colleagues, media
Mr. Speaker|| york, personnel, speaker
Mr. Speaker|| chair, object, point
Mr. Speaker|| forcing, american, wrong
Mr. Speaker|| proposed, concerns, good
<|endoftext|>|| home, costs, budget
<|endoftext|>|| chart, americans, cuts
<|endoftext|>|| simple, january, increase
Mr. Speaker|| access, medicare, pay
Madam Speaker|| care, health, coverage
Mr. President|| time, senator, pro
Mr. President|| states, body, supreme
Madam President|| medicaid, program, state
Mr. President|| bravest, time, rise
Mr. Speaker|| law, intelligence, enforcement
Mr. Speaker|| year, iran, appropriations
<|endoftext|>|| provision, continued, government
<|endoftext|>|| military, love, assembly
Mr. President|| reform, product, reforms
Madam President|| work, higher, senator
Mr. Chairman|| sensenbrenner, wisconsin, federal
Mr. President|| amendments, order, consent
Mr. President|| debate, president, floor
<|endoftext|>|| action, invoked, unanimous
<|endoftext|>|| acting, disposed, ash
Mr. Speaker|| extend, request, revise
Mr. Chairman|| people, considered, invested
Mr. President|| view, expressing, responsible
Madam Speaker|| public, madam, service
Mr. President|| process, president, company
Madam Speaker|| hill, chairman, large
Madam Speaker|| ohio, education, omnibus
<|endoftext|>|| chair, discussion, president
<|endoftext|>|| paid, higher, urge
Mr. Speaker|| committee, previous, substitute
Mr. Speaker|| medicaid, nation, programs
Mr. President|| allotted, interest, senator
Mr. President|| president, borders, united
Mr. President|| week, parenthood, komen
Mr. Chairman|| legislation, bill, kansas
Mr. Speaker|| negotiating, state, pleased
Mr. Speaker|| wisconsin, death, nation
<|endoftext|>|| injury, delaware, insurance
Mr. Speaker|| washington, democrats, gentleman
Mr. Speaker|| debate, speaker, adjourn
Mr. Chairman|| wrong, house, pieces
Mr. Speaker|| speaker, military, reverend
Mr. President|| home, country, expenses
Mr. President|| president, dakota, house
Mr. Chairman|| forest, fee, public
Madam President|| madam, remarks, remaining
Mr. President|| immediately, fund, funds
Mr. President|| nation, finally, people
Mr. Speaker|| speaker, children, home
Mr. President|| west, set, senator
<|endoftext|>|| embarrassment, obey, made
<|endoftext|>|| estrada, republican, renominated
<|endoftext|>|| english, bad, yield
Mr. President|| souris, stayed, dakota
Mr. President|| vermont, house, senators
Mr. President|| amendment, toughest, loss
Mr. President|| faulk, celebrate, community
Mr. Speaker|| deserve, offer, president
Mr. Speaker|| service, introducing, urge
Mr. Speaker|| abortion, norma, tonight
Mr. Speaker|| time, consume, project
<|endoftext|>|| bill, virtually, session
<|endoftext|>|| interested, workers, opportunity
Mr. Speaker|| united, world, american
Mr. Speaker|| urging, trump, office
Mr. President|| families, men, president
<|endoftext|>|| united, material, department
Madam Speaker|| prior, constituents, order
<|endoftext|>|| congressman, conditions, yielding
<|endoftext|>|| month, great, shallow
Mr. Chairman|| point, objection, consideration
Mr. Speaker|| americans, coleman, women
<|endoftext|>|| fresno, republican, local
<|endoftext|>|| private, plan, preferred
Mr. Speaker|| time, yield, tempore
Mr. Chair|| order, support, amendment
Mr. Speaker|| significant, obama, tuesday
Mr. President|| today, rise, family
Madam Speaker|| madam, things, chinese
Mr. President|| support, bills, highway
Mr. Speaker|| balanced, deficit, gentleman
<|endoftext|>|| pray, recovery, isolate
Mr. Chairman|| chairman, skelton, offer
Mr. President|| senate, special, discuss
Mr. Speaker|| body, speaker, rise
Mr. President|| hour, equally, morning
Mr. Chairman|| support, today, funds
Mr. President|| continues, continue, president
<|endoftext|>|| tough, decision, mentioned
Mr. President|| health, congressional, choices
<|endoftext|>|| state, business, lending
Mr. Speaker|| caucus, people, things
Mr. Speaker|| federal, senior, speaker
<|endoftext|>|| due, complete, capability
Mr. Speaker|| material, consideration, days
Mr. Speaker|| good, step, majority
Madam Speaker|| federal, lakes, state
Mr. Chair|| exchange, rio, chair
Mr. President|| congress, billions, economic
<|endoftext|>|| budget, bringing, distinguished
Mr. Chairman|| report, xviii, chair
Mr. Speaker|| afghanistan, end, conflict
Mr. President|| hall, tour, university
Mr. President|| hope, remind, committee
Mr. President|| leaders, president, 11:30
Mr. President|| service, friend, missouri
Mr. President|| threat, implications, crossing
Madam Speaker|| care, paychecks, insert
Mr. Speaker|| laid, table, fair
Mr. Speaker|| good, employees, work
<|endoftext|>|| tax, enrollees, premiums
Mr. Chairman|| navy, care, ranking
Mr. President|| american-style, region, education
Mr. Speaker|| study, civil, liberties
Mr. Speaker|| chip, number, speaker
<|endoftext|>|| amendment, reason, detainees
Mr. Speaker|| sex, rise, prenatal
Mr. President|| oceans, protection, ocean
Mr. Speaker|| consume, consent, weight
Mr. Speaker|| president, spend, talk
Mr. President|| bridge, american, infrastructure
Mr. Speaker|| species, mammal, endangered
Mr. President|| lines, adult, president
Mr. Chairman|| statutory, reports, reemphasize
<|endoftext|>|| budget, single, people
<|endoftext|>|| laid, preamble, reconsider
Mr. Speaker|| river, human, evacuees
Mr. Chairman|| infrastructure, rail, continue
Mr. Chairman|| conduct, states, shocks
<|endoftext|>|| additional, duty, vote
Mr. President|| implications, senate, understanding
<|endoftext|>|| crowley, pay, committee
Mr. President|| senate, public, health
Mr. Chairman|| missing, congress, crimes
Mr. Speaker|| universities, nation, christian
<|endoftext|>|| john, negroponte, estimate
<|endoftext|>|| accommodate, republicans, vote
Mr. President|| support, job, president
Mr. Chairman|| important, amendment, issue
Mr. Chief Justice|| president, united, question
<|endoftext|>|| knocking, chairman, side
Mr. President|| work, senator, stevens
Mr. Speaker|| cummings, house, maryland
Mr. Speaker|| surgery, hospital, statement
Mr. Speaker|| speaker, gringrich, asked
Mr. President|| dakota, worked, congressman
Mr. President|| simple, time, money
<|endoftext|>|| yesterday, representatives, floor
Madam Speaker|| rushing, continued, auburn
Mr. President|| president, amendment, initiative
Mr. Chairman|| constrained, additional, chairman
Mr. Speaker|| years, mills, company
Mr. Speaker|| day, jefferson, today
Mr. President|| occurring, naturally, trust
<|endoftext|>|| congress, federal, heard
Mr. Speaker|| revise, con, members
Madam President|| junior, filibusters, time
Madam Speaker|| trump, patient, million
Mr. Chairman|| gentleman, good, chairman
<|endoftext|>|| withdrawn, motion, desk
<|endoftext|>|| amendment, labor, chairman
Madam President|| amendment, set, senators
Mr. President|| senator, american, line-item
Mr. Speaker|| job, federal, congress
Mr. Chair|| budget, congress, step
Madam President|| deputy, position, suggested
Mr. Chairman|| education, financial, chairman
<|endoftext|>|| inslee, gentleman, hours
Madam Speaker|| adoption, served, yield
Mr. President|| motion, considered, passed
<|endoftext|>|| congressional, years, high-performing
Madam President|| senator, offered, madam
Madam Speaker|| question, reject, madam
Mr. Speaker|| attack, leaders, bombing
Mr. Chairman|| year, chairman, river
Mr. Speaker|| yield, voting, etheridge
<|endoftext|>|| jobs, policy, outsourcing
Mr. Chairman|| towing, technical, extends
Mr. Chairman|| united, understand, yield
Mr. President|| law, senate, important
<|endoftext|>|| catholic, people, moral
<|endoftext|>|| kind, architects, shown
<|endoftext|>|| ramos, recognize, puerto
Mr. President|| idea, votes, accepting
Mr. President|| create, americans, states
Madam Speaker|| time, honor, congress
Mr. Speaker|| funding, federal, speaker
Mr. President|| make, american, thing
Madam President|| week, country, relief
Mr. President|| make, amendment, times
Mr. Chairman|| states, issue, finally
Mr. President|| forward, wisdom, insight
Madam Speaker|| drilling, republican, plan
Madam Chairman|| waste, today, jurisdictions
Madam President|| excess, act, authorized
Mr. President|| finish, today, person
Mr. Speaker|| cover, services, country
Mr. Speaker|| number, memorial, nation
<|endoftext|>|| science, consideration, stem
Madam Speaker|| county, port, council
Mr. Chairman|| gentlewoman, proceedings, postponed
<|endoftext|>|| speaker, disagreements, houses
Mr. Chairman|| tax, white, american
Mr. President|| majority, amendments, understand
Madam Speaker|| people, speaker, strategy
<|endoftext|>|| student, people, percent
<|endoftext|>|| family, answer, pennsylvania
Mr. Speaker|| army, office, missouri
<|endoftext|>|| show, cost, years
Mr. Chair|| program, federal, communities
<|endoftext|>|| family, misunderstand, confuse
Mr. Speaker|| illinois, continental, gulf
Mr. Speaker|| dear, words, speaker
Mr. President|| afternoon, iowa, senator
<|endoftext|>|| unanimous, finish, additional
<|endoftext|>|| senator, proponents, balanced
Mr. President|| dispute, time, court
Mr. Chairman|| amendment, improve, national
Mr. Speaker|| constituents, lot, speaker
Mr. Chairman|| debate, america, cox
Mr. Chair|| review, chair, gas
<|endoftext|>|| amendment, school, fuel
Mr. President|| revolution, beginning, celebrate
<|endoftext|>|| turns, debate, minutes
Mr. President|| supplement, actively, shows
<|endoftext|>|| hezbollah, secretary, make
Mr. President|| committee, energy, building
<|endoftext|>|| rescind, language, litigation
<|endoftext|>|| invested, atlantis, gulf
<|endoftext|>|| amendment, students, board
Mr. Speaker|| time, michigan, california
Mr. President|| president, service, molly
Mr. President|| colleagues, senate, bills
Madam Speaker|| meaning, constitutional, great
Mr. President|| opportunity, health, page
Madam Speaker|| years, democratic, republican
Madam President|| service, madam, nation
Mr. President|| waiting, substitute, committee
Mr. Speaker|| working, iii, constructive
Mr. President|| states, airline, report
<|endoftext|>|| radicalism, dakota, make
Mr. President|| day, osama, santa
Madam President|| memorial, president, hatch
Mr. Speaker|| london, worked, rise
Mr. President|| call, person, reflect
Mr. President|| subject, ranking, subcommittee
Mr. President|| chairman, carriers, committee
Mr. Chairman|| amendment, times, states
Mr. Speaker|| congress, nation, friday
Mr. Speaker|| pennsylvania, liability, sports
Madam President|| senate, pending, consent
Madam Speaker|| madam, pro, extend
Mr. Speaker|| work, bill, rise
Mr. President|| senator, seniors, repeal
Mr. Speaker|| support, matsui, unique
Mr. President|| senator, colleague, india
Mr. President|| human, 10:00, authorized
Mr. President|| morning, resolution, business
<|endoftext|>|| liberty, act, amendment
Mr. President|| transfer, understand, submitted
Mr. President|| cop, prove, convicted
Madam President|| notwithstanding, accompany, report
Mr. Speaker|| work, congratulate, developmentally
Madam Chairman|| reinventing, november, budget
<|endoftext|>|| amendment, part, request
Mr. Speaker|| emanuel, recognized, pro
Mr. President|| stored, behalf, president
<|endoftext|>|| money, slash, baseline
<|endoftext|>|| bring, event, forward
Madam Speaker|| legislative, pro, jersey
<|endoftext|>|| gramm, bosnia, spain
Mr. President|| hold, thursday, pensions
Mr. President|| women, health, american
<|endoftext|>|| competition, talk, amendment
<|endoftext|>|| judgeships, move, hear
Mr. Chairman|| students, higher, federal
Mr. President|| building, business, office
Mr. President|| national, liberty, americans
Mr. President|| president, brac, ensure
Mr. President|| law, district, kravitz
Madam President|| back, scheduled, kentucky
Mr. President|| amendment, cut, medicaid
Mr. Chairman|| prospectus, duncan, due
Mr. Speaker|| district, american, concerns
Mr. Speaker|| speaker, vote, house
Mr. President|| areas, reiterate, colleagues
Mr. President|| fiscal, eas, communities
Mr. Speaker|| offered, provided, understand
Mr. Chairman|| investment, funding, hope
Mr. Chairman|| chairman, democrat, supports
Mr. President|| democratic, broad, opportunity
<|endoftext|>|| issues, fact, colleague
Mr. Speaker|| bill, workforce, support
Madam President|| fund, port, energy
<|endoftext|>|| process, lot, idea
Mr. Speaker|| change, record, maryland
<|endoftext|>|| committee, services, armed
<|endoftext|>|| reassign, money, early
Mr. Speaker|| speaker, republican, americans
Mr. President|| dependence, energy, foreign
Mr. President|| chairman, practices, financial
Mr. Chairman|| bill, rise, emerson
Madam Speaker|| listen, economic, taxes
<|endoftext|>|| gentleman, side, so-called
Mr. Speaker|| stupak, price, amendment
Mr. Speaker|| republic, privacy, fourth
Mr. President|| completes, date, senate
<|endoftext|>|| wanted, documents, talk
Mr. Speaker|| offered, senate, radanovich
Mr. President|| primary, senators, today
Mr. Speaker|| rise, situation, president
Madam Speaker|| taxpayer, legislation, receive
Mr. President|| view, nation, president
<|endoftext|>|| charter, rayburn, president
Mr. President|| cells, president, wyoming
<|endoftext|>|| bill, president, senator
Mr. President|| fund, domenici, harkin
Mr. Speaker|| disaster, press, guide
<|endoftext|>|| good, debtor, countries
<|endoftext|>|| timing, amendment, follow
<|endoftext|>|| billion, issue, neugebauer
Mr. President|| thursday, families, children
Mr. Speaker|| operation, reconnaissance, airborne
Mr. Speaker|| speaker, sunday, act
Mr. President|| approximately, american, forests
Mr. President|| bloody, work, president
Mr. Speaker|| park, richardson, speaker
Mr. President|| consent, gaming, senate
Mr. President|| hmo, health, order
Mr. Speaker|| member, paying, caps
Mr. Speaker|| clinton, debate, presidency
<|endoftext|>|| simon, fund, capital
Mr. Speaker|| week, colleague, floor
Mr. Speaker|| equity, discontinued, support
Mr. Speaker|| brac, newton, air
Mr. President|| stood, million, years
Mr. Chairman|| greater, excuse, iran
<|endoftext|>|| bill, carefully, insurance
Mr. President|| acknowledge, montana, february
Mr. Chairman|| armed, year, secretary
Madam Speaker|| teaches, good, speaker
Mr. Speaker|| noting, punishing, speaker
<|endoftext|>|| permit, bowles, years
Mr. President|| expired, completes, july
Mr. President|| constitutional, wednesday, late
Mr. Speaker|| nebraska, rises, speaker
Mr. Speaker|| medical, non-economic, year
<|endoftext|>|| explain, subject, investment
Mr. Speaker|| house, adjourn, speaker
Mr. President|| united, missile, nunn
Mr. Chairman|| ensure, welfare, states
Mr. Chairman|| legislation, admit, regulation
Mr. President|| remarks, debate, president
Madam Speaker|| schoolchildren, medicaid, citizens
<|endoftext|>|| provision, debate, date
Mr. President|| consideration, leahy, invoked
Mr. Chairman|| side, chairman, point
Madam Chair|| screening, chair, program
Mr. Speaker|| fbi, idaho, department
Mr. Speaker|| time, tempore, motion
Mr. Speaker|| yeas, announcement, speaker
Mr. President|| family, children, tree
Mr. President|| medal, world, time
Mr. Chairman|| question, police, community
Mr. Chairman|| chairman, program, security
<|endoftext|>|| account, senator, integrity
Mr. Speaker|| effort, consent, chair
Mr. Speaker|| due, costs, year
Mr. Speaker|| decided, balance, points
Mr. Speaker|| consent, bring, moment
<|endoftext|>|| administration, judicial, consent
Mr. Speaker|| latest, list, nancy
<|endoftext|>|| industries, legislation, treated
Mr. Speaker|| tragedy, helping, city
<|endoftext|>|| privately, today, side
Mr. President|| senate, committee, testimony
Mr. President|| island, forces, occupation
Mr. President|| problem, immigration, million
Mr. Speaker|| house, congress, city
<|endoftext|>|| yield, gentleman, balancing
Mr. Speaker|| nation, constituent, rationing
<|endoftext|>|| property, rules, intellectual
Mr. Chairman|| issued, bipartisan, scrub
Madam President|| good, give, minority
Mr. President|| president, energy-efficient, credit
Mr. President|| higher, bank, president
Mr. President|| united, kennedy, floor
Mr. Speaker|| american, government, run
Madam Speaker|| announced, appeared, yield
Mr. President|| year, important, local
<|endoftext|>|| coats, campbell, coloradan
Mr. President|| unanimous, technology, armed
<|endoftext|>|| reason, president, back
<|endoftext|>|| continue, gentleman, thought
Madam Speaker|| home, hundred, buckeye
Mr. President|| care, illness, president
Mr. President|| consideration, bill, president
Madam President|| call, colleague, pro
Madam Speaker|| poorest, senate, gentleman
<|endoftext|>|| shutting, people, process
Mr. Speaker|| brown, career, honorable
<|endoftext|>|| chance, senators, question
Madam President|| president, senators, add
Mr. President|| pass, speaker, scientific
Mr. Speaker|| rise, university, loyola
Mr. President|| affairs, intergovernmental, interior
Mr. Speaker|| york, consent, accompany
Mr. Speaker|| status, discretionary, legislation
<|endoftext|>|| amendment, brown, vote
Mr. Speaker|| consume, support, colleagues
Mr. Speaker|| conference, house, yield
Mr. President|| service, housing, members
Mr. Chairman|| norwood, establishes, senate
Mr. Chairman|| jersey, union, opinion
Mr. President|| west, robert, president
Mr. President|| defense, men, president
Madam Chair|| consume, emergencies, emergency
Mr. Chairman|| minot, weapons, base
Mr. President|| threat, amendment, saddam
Mr. President|| leader, amendments, cantwell
<|endoftext|>|| guy, policies, jobs
Mr. Chairman|| parental, downpayment, consume
<|endoftext|>|| icac, million, internet
<|endoftext|>|| senators, south, senator
Mr. Speaker|| floor, gentleman, resources
<|endoftext|>|| working, efforts, alcohol
Madam Speaker|| social, crisis, invented
Mr. Speaker|| proposal, americans, drug
Mr. President|| colleagues, system, feingold
Mr. Chairman|| amtrak, knollenberg, routes
<|endoftext|>|| talking, changed, respect
Mr. President|| revenues, universal, measure
Mr. Speaker|| obey, speaker, people
Mr. Speaker|| offered, yielding, democrats
Mr. Speaker|| government, americans, speak
Mr. Speaker|| bill, unanimous, technical
Mr. Speaker|| nation, local, consume
Madam President|| metzenbaum, issue, secretary
Mr. Speaker|| speaker, knees, cutting
Mr. Chairman|| home, united, area
<|endoftext|>|| minutes, permitted, morning
Mr. President|| powered, cbo, side
Mr. Speaker|| pro, objection, gentleman
<|endoftext|>|| categories, people, wyoming
Mr. Chairman|| working, chairman, support
Mr. President|| senator, retroactive, county
<|endoftext|>|| american, gentleman, joe
Mr. Speaker|| michigan, tempore, led
